,Title,item_ids
0,Toy Story (1995),1
22243,Jumanji (1995),2
30763,Grumpier Old Men (1995),3
75743,Waiting to Exhale (1995),4
118992,Father of the Bride Part II (1995),5
165998,Heat (1995),6
177888,Sabrina (1995),7
190504,Tom and Huck (1995),8
214199,Sudden Death (1995),9
241767,GoldenEye (1995),10
296269,"American President, The (1995)",11
322073,Dracula: Dead and Loving It (1995),12
389383,Balto (1995),13
452749,Nixon (1995),14
470630,Cutthroat Island (1995),15
505014,Casino (1995),16
535540,Sense and Sensibility (1995),17
587784,Four Rooms (1995),18
651083,Ace Ventura: When Nature Calls (1995),19
665275,Money Train (1995),20
688720,Get Shorty (1995),21
713973,Copycat (1995),22
716577,Assassins (1995),23
746976,Powder (1995),24
766650,Leaving Las Vegas (1995),25
787207,Othello (1995),26
814842,Now and Then (1995),27
830650,Persuasion (1995),28
863335,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",29
896359,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),30
926291,Dangerous Minds (1995),31
971604,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),32
1014899,Wings of Courage (1995),33
1042105,Babe (1995),34
1056601,Carrington (1995),35
1079691,Dead Man Walking (1995),36
1110624,Across the Sea of Time (1995),37
1123093,It Takes Two (1995),38
1127917,Clueless (1995),39
1147566,"Cry, the Beloved Country (1995)",40
1169492,Richard III (1995),41
1202921,Dead Presidents (1995),42
1207099,Restoration (1995),43
1227637,Mortal Kombat (1995),44
1236864,To Die For (1995),45
1260274,How to Make an American Quilt (1995),46
1281078,Seven (a.k.a. Se7en) (1995),47
1288866,Pocahontas (1995),48
1299770,When Night Is Falling (1995),49
1313921,"Usual Suspects, The (1995)",50
1329008,Guardian Angel (1994),51
1360288,Mighty Aphrodite (1995),52
1375846,Lamerica (1994),53
1383322,"Big Green, The (1995)",54
1394482,Georgia (1995),55
1398223,Kids of the Round Table (1995),56
1403643,Home for the Holidays (1995),57
1417094,"Postman, The (Postino, Il) (1994)",58
1432673,"Confessional, The (Confessionnal, Le) (1995)",59
1448566,"Indian in the Cupboard, The (1995)",60
1470734,Eye for an Eye (1996),61
1471069,Mr. Holland's Opus (1995),62
1490943,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),63
1491296,Two if by Sea (1996),64
1492753,Bio-Dome (1996),65
1496484,Lawnmower Man 2: Beyond Cyberspace (1996),66
1504789,Two Bits (1995),67
1513815,French Twist (Gazon maudit) (1995),68
1527174,Friday (1995),69
1536213,From Dusk Till Dawn (1996),70
1547990,Fair Game (1995),71
1551378,Kicking and Screaming (1995),72
1554181,"Misérables, Les (1995)",73
1562161,Bed of Roses (1996),74
1565261,Big Bully (1996),75
1566047,Screamers (1995),76
1586035,Nico Icon (1995),77
1595252,"Crossing Guard, The (1995)",78
1610694,"Juror, The (1996)",79
1614418,"White Balloon, The (Badkonake sefid) (1995)",80
1622975,Things to Do in Denver When You're Dead (1995),81
1644369,Antonia's Line (Antonia) (1995),82
1659694,Once Upon a Time... When We Were Colored (1995),83
1689268,Last Summer in the Hamptons (1995),84
1691342,Angels and Insects (1995),85
1694703,White Squall (1996),86
1699345,Dunston Checks In (1996),87
1723996,Black Sheep (1996),88
1741025,Nick of Time (1995),89
1770406,"Journey of August King, The (1995)",90
1778813,Mary Reilly (1996),92
1791747,Vampire in Brooklyn (1995),93
1798123,Beautiful Girls (1996),94
