,Title
0,Toy Story (1995)
1,Jumanji (1995)
2,Grumpier Old Men (1995)
3,Waiting to Exhale (1995)
4,Father of the Bride Part II (1995)
5,Heat (1995)
6,Sabrina (1995)
7,Tom and Huck (1995)
8,Sudden Death (1995)
9,GoldenEye (1995)
10,"American President, The (1995)"
11,Dracula: Dead and Loving It (1995)
12,Balto (1995)
13,Nixon (1995)
14,Cutthroat Island (1995)
15,Casino (1995)
16,Sense and Sensibility (1995)
17,Four Rooms (1995)
18,Ace Ventura: When Nature Calls (1995)
19,Money Train (1995)
20,Get Shorty (1995)
21,Copycat (1995)
22,Assassins (1995)
23,Powder (1995)
24,Leaving Las Vegas (1995)
25,Othello (1995)
26,Now and Then (1995)
27,Persuasion (1995)
28,"City of Lost Children, The (Cité des enfants perdus, La) (1995)"
29,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)
30,Dangerous Minds (1995)
31,Twelve Monkeys (a.k.a. 12 Monkeys) (1995)
32,Wings of Courage (1995)
33,Babe (1995)
34,Carrington (1995)
35,Dead Man Walking (1995)
36,Across the Sea of Time (1995)
37,It Takes Two (1995)
38,Clueless (1995)
39,"Cry, the Beloved Country (1995)"
40,Richard III (1995)
41,Dead Presidents (1995)
42,Restoration (1995)
43,Mortal Kombat (1995)
44,To Die For (1995)
45,How to Make an American Quilt (1995)
46,Seven (a.k.a. Se7en) (1995)
47,Pocahontas (1995)
48,When Night Is Falling (1995)
49,"Usual Suspects, The (1995)"
50,Guardian Angel (1994)
51,Mighty Aphrodite (1995)
52,Lamerica (1994)
53,"Big Green, The (1995)"
54,Georgia (1995)
55,Kids of the Round Table (1995)
56,Home for the Holidays (1995)
57,"Postman, The (Postino, Il) (1994)"
58,"Confessional, The (Confessionnal, Le) (1995)"
59,"Indian in the Cupboard, The (1995)"
60,Eye for an Eye (1996)
61,Mr. Holland's Opus (1995)
62,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)
63,Two if by Sea (1996)
64,Bio-Dome (1996)
65,Lawnmower Man 2: Beyond Cyberspace (1996)
66,Two Bits (1995)
67,French Twist (Gazon maudit) (1995)
68,Friday (1995)
69,From Dusk Till Dawn (1996)
70,Fair Game (1995)
71,Kicking and Screaming (1995)
72,"Misérables, Les (1995)"
73,Bed of Roses (1996)
74,Big Bully (1996)
75,Screamers (1995)
76,Nico Icon (1995)
77,"Crossing Guard, The (1995)"
78,"Juror, The (1996)"
79,"White Balloon, The (Badkonake sefid) (1995)"
80,Things to Do in Denver When You're Dead (1995)
81,Antonia's Line (Antonia) (1995)
82,Once Upon a Time... When We Were Colored (1995)
83,Last Summer in the Hamptons (1995)
84,Angels and Insects (1995)
85,White Squall (1996)
86,Dunston Checks In (1996)
87,Black Sheep (1996)
88,Nick of Time (1995)
89,"Journey of August King, The (1995)"
90,Mary Reilly (1996)
91,Vampire in Brooklyn (1995)
92,Beautiful Girls (1996)
93,Broken Arrow (1996)
94,In the Bleak Midwinter (1995)
95,"Hate (Haine, La) (1995)"
96,Shopping (1994)
97,Heidi Fleiss: Hollywood Madam (1995)
98,City Hall (1996)
99,Bottle Rocket (1996)
100,Mr. Wrong (1996)
101,Unforgettable (1996)
102,Happy Gilmore (1996)
103,"Bridges of Madison County, The (1995)"
104,Nobody Loves Me (Keiner liebt mich) (1994)
105,Muppet Treasure Island (1996)
106,Catwalk (1996)
107,Headless Body in Topless Bar (1995)
108,Braveheart (1995)
